date,Chickpeas,Oil (mustard),Potatoes,Rice,Sugar,Wheat,Onions
2000-02,18.89666667,45.69,4.933333333,236.4944444,16.27058824,205.0038462,5.246666667
2000-03,18.16,43.621875,4.365,223.2157895,16.61388889,245.025,5.68
2000-04,18.5,42.965625,4.7425,231.9905556,17.04166667,234.0414286,5.4875
2000-05,18.295,41.340625,4.855,231.3555556,16.64166667,219.6066667,5.2575
2000-06,18.84,42.08,5.09,230.8888889,16.63529412,217.8066667,4.8275
2000-07,20.19,41.89,5.375,208.4165,16.58529412,214.592,5.465
2000-08,20.875,42.21,5.4325,206.1125,17.10277778,208.8033333,5.005
2000-09,21.0775,42.14333333,5.59,166.3642105,16.96611111,170.3021429,5.445
2000-10,20.8875,40.38461538,5.755,179.5735294,16.80882353,170.2264286,6.2
2000-11,22.8,40.4,5.4575,204.6052632,16.63888889,209.9866667,7.575
2000-12,23.8375,43.31785714,4.77,192.4625,16.19117647,212.9813333,7.91
2001-01,23.455,42.709375,4.2275,211.0555556,16.18055556,213.6166667,7.8625
2001-02,22.4725,42.62333333,4.105,219.1527778,16.04166667,214.75,6.9725
2001-03,22.775,43.81,4.4425,219.1944444,16.19166667,214.9833333,6.34
2001-04,22.75,43.39375,5.1175,206.7083333,16.57058824,210.8333333,5.83
2001-05,23.785,43.2375,7.1525,245.453125,16.66764706,207.092,5.7025
2001-06,25.575,,7.8075,465.52375,16.0725,379.93375,5.13
2001-07,25.8975,,8.0975,473.81375,16.03,388.40625,5.73
2001-08,26.1125,,8.6025,465.94625,15.9675,374.2075,7.4525
2001-09,25.7875,,8.1625,471.25125,16.165,384.60375,8.05
2001-10,27.125,,8.025,479.46625,16.24,394.0725,8.575
2001-11,27.83,,9.55,482.7725,16.04,403.60625,10.7
2001-12,27.9725,,8.4525,483.525,16.025,403.33375,9.0575
2002-01,27.4475,45.52,7.36,218.2222222,16.14411765,205.21875,7.0175
2002-02,25.725,43.03333333,6.4,213.3055556,16.02941176,194.7852941,5.675
2002-03,25,43.09375,6.0275,196.0842105,16.125,194.75,5.4575
2002-04,24.23,43.8,6.405,206.7261111,16.16176471,207.315625,5.16
2002-05,23.445,45.33333333,7.2,196.07,16.33823529,204.245625,5.32
2002-06,22.5375,47.1875,7.605,192.6010526,16.14705882,204.859375,5.4175
2002-07,22.5225,48.125,8.275,183.655,16,193.3676471,6.27
2002-08,22.775,49,9.225,188.4525,16.10588235,205.984375,6.7625
2002-09,23.0825,48.8125,9.4775,190.4465,15.73611111,195.4117647,7.68
